FID;field_1;field_2;x;y
295;307096.05065699;4610291.44166066;307096;4610290
296;316667.246083941;4612972.23103954;316667;4612970
297;316586.462360121;4623508.74141742;316586;4623510
298;288834.411647188;4597467.34124083;288834;4597470
299;311691.791989376;4605861.57439182;311692;4605860
300;294827.299810415;4605004.76321869;294827;4605000
301;287557.741015549;4623484.77803445;287558;4623480
302;317323.199656147;4624133.91445913;317323;4624130
303;316173.962201928;4603356.40047665;316174;4603360
304;282255.129486515;4594689.14268988;282255;4594690
305;305020.400027193;4614302.26147167;305020;4614300
306;281465.324505581;4591569.25090318;281465;4591570
307;301803.968799833;4605289.60118671;301804;4605290
308;294289.507300129;4601521.59020064;294290;4601520
309;293786.003791227;4601499.07323794;293786;4601500
310;303022.159501675;4619091.25891616;303022;4619090
311;308277.082316485;4611296.94037763;308277;4611300
312;286954.640282624;4595807.57052192;286955;4595810
313;312653.595325707;4596096.3954885;312654;4596100
314;295535.659655092;4605285.30891431;295536;4605290
315;296359.075618175;4601764.32760982;296359;4601760
316;285128.519909229;4625319.22264423;285129;4625320
317;302631.251143287;4615442.77098005;302631;4615440
318;308366.999415029;4602860.9272949;308367;4602860
319;290752.834723899;4603205.83259931;290753;4603210
320;278949.024851643;4589457.40210555;278949;4589460
321;307729.906453423;4611689.43936983;307730;4611690
322;297760.024539973;4602129.1096975;297760;4602130
323;306086.624185848;4616022.62609249;306087;4616020
324;317885.921306747;4625215.66236847;317886;4625220
325;289653.988014376;4601549.76335237;289654;4601550
326;297733.844084142;4613790.17150318;297734;4613790
327;286691.276237691;4588162.25358722;286691;4588160
328;287326.739286905;4601694.9565217;287327;4601700
329;315021.02101205;4604095.86014836;315021;4604100
330;300440.71997689;4615020.97450979;300441;4615020
331;291833.032947397;4601876.39366609;291833;4601880
332;316644.502833991;4603054.22647045;316644;4603050
333;306713.215970803;4616711.74491414;306713;4616710
334;306125.781096502;4612109.12943295;306126;4612110
335;307741.860815543;4610494.79011584;307742;4610500
336;310281.968082978;4599554.97751049;310282;4599560
337;306726.210594744;4612269.35366714;306726;4612270
338;306191.775899159;4608950.810903;306192;4608950
339;303202.920158001;4601558.98594693;303203;4601560
340;289441.261799574;4601348.10018761;289441;4601350
341;287066.575045035;4595884.20946865;287067;4595880
342;282203.097263464;4592204.72318447;282203;4592200
343;316420.211052129;4611594.55025137;316420;4611590
