"from";"to";"distance";"intensity";"imd2015"
386;387;380,295937396128;1,16555979961957e-34;615
112;113;605,537777516812;0,00205481900850463;818
6;44;52,2015325445527;0;821
377;378;1072,57680377677;8,19083271130129e-06;615
258;259;548,967212135661;0,00872118729985819;3051
223;224;459,548691653017;0,00113045402952119;869
351;352;528,388114930682;8,4390725028026e-05;890
222;223;531,687878364741;0,00273991405199043;869
43;103;489,360807584751;0,00694749960200982;8374
113;114;410,599561616912;0,00243778387286865;818
310;311;411,004866151242;0,00297137926892953;3936
8;88;1738,36848797946;0,0118350087571338;16108
18;211;1321,88123520988;1,21577787616213e-21;12411
59;60;596,886923964665;0,000429821758915929;107
293;294;113,846387733647;0,00168833838629835;3936
46;97;142,874070425672;0,00100282822388803;821
24;207;140,014284985497;0,00202059082510461;16108
279;280;594,798285135389;0,00515550682662486;3936
244;246;745,344215782212;0,00645371749111777;2351
371;372;858,613999419995;0,000300418280558196;615
384;385;914,459949915796;3,21530592438454e-25;615
365;366;712,280843488016;0,000494417770461374;615
378;379;356,439335651945;1,05112466185109e-08;615
305;306;96,8400743494138;0;3936
241;242;510,078425342613;0,00120076138798667;368
317;318;124,197423483742;5,88095490538852e-07;3936
74;75;353,012747645181;4,60747717917069e-19;155
334;390;824,449513311761;0,000384052499680908;8277
11;221;900,79076371819;0,00534426411697883;33228
106;107;779,964742792903;0,00111494211880868;419
224;225;322,665461430256;0,000539075960208367;869
21;45;589,60664853782;0,000406095762885543;282
281;282;584,829889797025;0,00628890692877481;3936
331;332;470,880027183146;0,000784413351839086;1726
130;183;559,946426008775;0,000168399310129739;548
144;145;1642,90778803924;0,0171435351672076;7390
213;214;5655,51279726251;0,0689696200873791;12411
259;260;578,447058943167;0,00712870493855284;3051
282;283;569,269707607914;0,00729525726712986;3936
316;317;182,332114560217;8,88163415870843e-07;3936
50;250;263,286915740224;0,00131602866168761;1136
353;354;916,792779203676;0,0023811286270607;890
290;291;99,1261822123701;0,00254892580594986;3936
303;304;794,964779094017;0,0122257375085259;3936
22;243;2251,19390546439;0,0485484503744281;20061
297;298;120;0;3936
254;342;1809,16472439632;0,0341874161085977;1482
15;48;3140,33437710063;0,0203724555671474;13110
370;371;490,60880546521;6,82199371876552e-05;615
144;257;380,021052048436;0,00438561295510249;3051
334;335;2574,94485377843;0,000656606014486273;94
13;142;805,403004712548;0,0147407287797594;7390
46;395;1448,94064750769;0,021849981378904;20061
359;360;90,3382532485547;0,000363276647949098;615
54;98;1642,90748370077;0,0192570519872564;24772
369;370;604,669331122391;0,000369865640588425;615
332;333;475,095779817081;0,00026607313497443;1726
236;320;542,02767457022;0,00512768299470906;5773
150;151;498,606056922697;5,83615146289485e-05;615
146;147;912,369442714956;0,00652875173565117;7390
84;85;760,426853813041;0,00530633053951325;6407
54;55;739,058860984699;0,0119496928078678;16108
60;61;561,014260068316;0,00108354715016179;107
300;301;346,770817687994;0,00149255598525055;3936
7;49;50,2891638427206;9,51203227223239e-05;732
239;240;966,635919051222;0,000179335917048285;368
34;369;1048,27477313918;0,00204200823170506;615
380;381;627,063792608057;8,32381453105505e-11;615
383;384;616,387053725174;4,56186434604664e-22;615
240;241;697,654642355371;0,000818127208139645;368
85;86;1691,80170232802;0,00239618929488851;6407
288;289;102,95630140987;0;3936
14;128;881,444836617698;0,0245453752105308;8277
31;331;710,879033310169;0,00267853453421211;1726
37;222;464,796729764744;0,0032780220412765;869
297;300;769,796076893095;0,0053425740535646;3936
40;278;53,0377224247045;0;3936
20;227;4098,27012286892;0,0871106005952723;10351
379;380;410,274298488219;1,41893851074007e-09;615
147;148;2070,31422735777;0,0115226708383867;7390
314;315;663,134978718511;4,12199066518418e-05;3936
3;4;2322,81079728849;0,0574692115082587;24772
293;296;224,644163066838;0,00319560255369858;3936
143;144;1887,47079447604;0,0222111713154864;7390
276;277;29,4278779391243;0;861
2;226;701,285248668472;0,00630448862173671;10372
257;258;370,094582505608;0,00674698020317086;3051
23;253;984,769008448174;0,0146195288013415;20061
354;355;1166,5286108793;0,00661095866966067;890
352;353;374,95866438849;0,000160287450276718;890
360;364;670,402863955696;0,00131573632419393;615
10;11;17,8885438199983;0;35374
364;365;564,343866804628;0,000440247993377113;615
285;286;880,03636288508;0,00891867600391376;3936
362;363;1158,43040360654;0,00459762898154545;615
308;309;612,361004636971;0,00624687310697237;3936
301;302;453,20304500301;0,00374793918009275;3936
136;137;621,553698404249;0,000261325973005078;771
372;373;758,093002210151;0,00152858901999218;615
366;367;706,842273778245;0,00215358305648645;615
99;152;869,05523414798;0,0175857419756857;615
111;112;664,003765049567;0,000516026736472243;818
28;29;238,008403212996;0,00105059668279497;1360
94;334;1571,63386321369;0,00699949810422773;94
376;377;819,881088939122;0,000125065710980004;615
109;110;1068,60656932287;0,00735591258462171;419
12;49;9,21954445729289;9,51203227223239e-05;282
11;358;703,518301112345;0,00658343815610269;890
32;270;255,344864839691;0,000124653468921098;1726
30;330;263,005703360212;0,00159714812251838;1726
137;150;483,045546506745;0,000222715090584746;615
147;368;1183,50749892005;0,00435955738331947;615
328;329;995,931724567503;0,0046325806456252;1726
132;133;1117,54910406657;0,0101272650684566;548
274;275;3681,87954718782;0,0654279671894159;6891
6;104;1139,78111933827;0,00501610638800922;732
25;305;119,970829787911;0;3936
359;362;486,009259171057;0,00223086959709293;615
255;256;492,065036351903;0,00522643908639874;3051
102;269;3901,87403692123;0,00712857605730367;14070
102;159;3862,07457204027;0,00487941655321704;13110
102;316;2289,52505991963;0,00109172579706986;3936
102;187;3611,49013566422;0,00470169713989832;7568
57;102;3956,33289802565;0,00423192870601575;16108
133;410;335,410196624968;0,00481279386226651;548
94;410;2595,23409348752;0,0385429082676143;6583
95;410;1615,67601950391;0,01747668154737;6583
206;5;5;0;36909
